Results, , , , , 
Field [10^{-4} a.u.], 0, -25 , -50 , -75 , -100 
Int [a.u.],-210.253440123,-210.251812124,-210.250550570,-210.249657161,-210.249136400
TS [a.u.],-210.175709361,-210.177256135,-210.179164608,-210.181434879,-210.184067347
Delta E [kcal/mol],48.776053155,46.7838830975,44.794691155,42.809481955,40.8308307575
Delta Delta E [kcal/mol],0,-1.99217005746,-3.98136199999,-5.9665712,-7.94522239748
